8,2.366,3.587
8,1.041,3.685
8,1.276,3.685
9,1.500,3.587
9,1.613,3.587
9,1.623,3.685
9,1.676,3.587
10,1.716,3.783
10,1.725,4.272
10,1.779,3.685
10,1.838,3.685
11,1.872,3.685
11,1.911,4.076
11,1.916,3.783
12,1.926,3.881
12,1.896,3.685
12,1.891,3.685
12,1.838,3.685
13,1.725,3.587
13,1.603,3.783
13,1.515,3.783
14,1.476,3.685
14,1.481,3.685
14,1.505,3.685
14,1.530,3.685
15,1.579,3.783
15,1.598,3.881
15,1.623,3.587
15,1.647,3.685
16,1.681,3.783
16,1.676,3.783
16,1.657,3.783
17,1.681,3.783
17,1.691,3.587
17,1.701,3.783
17,1.686,3.783
18,1.716,3.783
18,1.701,3.978
18,1.764,3.587
18,1.911,3.783
19,1.857,3.783
19,1.725,3.978
19,1.628,3.881
20,1.579,3.783
20,1.544,3.783
20,1.520,3.783
20,1.476,3.783
21,1.486,3.978
21,1.461,4.370
21,1.452,3.881
22,1.520,3.881
22,1.935,3.881
22,2.698,4.076
22,3.055,3.881
23,1.896,3.881
23,1.070,3.881
23,1.290,3.881
23,1.364,3.881
24,1.378,3.881
24,1.408,3.978
24,1.461,3.881
25,1.491,3.978
25,1.481,3.978
25,1.491,3.978
25,1.510,3.978
26,1.544,4.174
26,1.618,3.978
26,1.667,3.978
27,1.676,3.978
27,1.730,3.978
27,1.799,3.978
27,1.818,3.978
28,1.813,3.978
28,1.745,3.978
28,1.730,3.978
28,1.652,4.076
29,1.608,4.076
29,1.584,3.978
29,1.618,3.978
30,1.637,3.978
30,1.637,3.978
30,1.657,4.076
30,1.676,4.076
31,1.681,4.076
31,1.691,3.978
31,1.696,3.978
31,1.696,3.978
32,1.745,4.174
32,1.740,4.076
32,1.681,4.076
33,1.623,4.076
33,1.667,3.978
33,1.667,3.978
33,1.652,4.076
34,1.818,4.174
34,1.852,4.272
34,1.740,3.978
35,1.676,4.076
35,1.613,4.076
35,1.588,4.076
35,1.608,3.978
36,1.637,4.076
36,1.642,4.174
36,1.618,4.076
36,1.579,3.978
37,1.618,4.076
37,1.808,4.076
37,2.287,4.076
38,3.006,4.272
38,2.776,4.076
38,1.520,4.174
38,1.266,4.076
39,1.447,4.076
39,1.554,3.978
39,1.691,4.467
40,1.779,4.076
40,1.838,4.761
40,1.911,3.978
40,1.955,4.076
41,1.950,3.978
41,1.955,4.076
41,1.994,4.076
41,1.979,4.076
42,2.004,4.076
42,1.999,4.076
42,2.014,4.076
43,2.014,4.076
43,2.014,4.076
43,1.965,4.076
43,1.887,4.076
44,1.808,3.978
44,1.750,4.174
44,1.720,4.076
44,1.760,4.076
45,1.760,4.076
45,1.730,4.076
45,1.720,4.076
46,1.720,4.174
46,1.686,4.076
46,1.686,3.978
46,1.676,4.076
47,1.696,4.272
47,1.681,4.174
47,1.720,4.272
48,1.745,4.174
48,1.750,4.076
48,1.926,4.076
48,1.994,3.978
49,1.896,4.076
49,1.784,4.076
49,1.774,4.174
49,1.716,4.076
50,1.784,4.076
50,1.799,4.076
50,1.789,4.174
51,1.813,4.076
51,1.813,4.076
51,1.799,4.076
51,1.882,4.174
52,2.297,4.076
52,3.074,4.076
52,3.426,4.076
52,2.043,4.076
53,1.114,4.076
53,1.373,4.174
53,1.603,4.076
54,1.628,3.978
54,1.701,4.174
54,1.755,4.272
54,1.779,4.370
55,1.799,3.978
55,1.799,3.978
55,1.828,4.076
56,1.882,4.370
56,1.935,4.076
56,1.970,3.978
56,1.950,3.978
57,1.955,4.076
57,1.940,3.978
57,1.931,3.978
57,1.901,3.978
58,1.843,3.978
58,1.799,4.076
58,1.760,4.174
59,1.725,4.076
59,1.730,3.978
59,1.745,3.978
59,1.755,3.978
60,1.779,4.076
60,1.818,4.076
60,1.838,4.076
60,1.818,3.978
61,1.823,3.978
61,1.852,3.978
61,1.838,4.076
62,1.848,3.978
62,1.862,4.076
62,1.975,3.978
62,1.999,4.076
63,1.882,3.978
63,1.725,3.978
63,1.706,3.978
73,1.632,3.978
88,1.584,3.978
89,1.652,4.076
105,1.716,4.076
121,1.730,3.978
137,1.745,3.978
153,1.784,3.978
169,1.887,4.076
169,2.322,4.076
185,3.045,4.076
201,2.977,3.978
217,1.696,3.978
233,1.329,3.978
249,1.432,3.978
249,1.471,4.076
265,1.525,4.076
281,1.554,3.881
297,1.628,3.978
313,1.691,3.978
328,1.706,3.978
345,1.774,3.978
345,1.813,3.978
361,1.828,3.978
376,1.852,3.978
392,1.935,3.783
408,2.009,3.978
424,1.975,3.978
425,1.935,3.978
440,1.935,3.978
456,1.887,3.881
472,1.843,3.881
488,1.799,3.587
504,1.764,3.881
520,1.755,3.978
521,1.794,3.978
536,1.808,3.978
552,1.818,3.881
568,1.877,3.978
584,1.896,3.881
600,1.867,3.881
601,1.935,3.881
616,1.901,3.978
632,1.906,3.978
648,1.911,3.978
664,1.872,3.881
680,1.931,3.881
696,2.067,3.881
697,1.994,3.881
712,1.867,3.978
728,1.813,3.978
744,1.750,3.978
760,1.716,3.881
776,1.735,3.881
777,1.725,3.881
792,1.740,3.978
808,1.769,3.881
824,1.725,3.881
840,1.823,3.783
856,2.175,3.587
872,2.825,3.881
873,3.255,3.881
888,2.346,3.783
904,1.403,3.881
920,1.452,3.881
936,1.540,3.587
952,1.564,3.881
953,1.593,3.783
968,1.642,3.783
984,1.676,3.783
1000,1.716,3.881
1016,1.779,3.881
1032,1.838,3.587
1048,1.862,3.783
1049,1.906,3.783
1064,1.984,3.783
1080,1.989,3.881
1096,2.009,3.783
1112,2.033,3.783
1128,1.994,3.881
1129,1.935,3.783
1144,1.887,3.783
1160,1.833,3.783
1176,1.804,4.076
1192,1.760,4.467
1208,1.720,3.881
1224,1.716,3.783
1224,1.745,3.783
1240,1.764,3.783
1256,1.750,3.783
1272,1.789,3.783
1288,1.774,3.783
1304,1.745,3.783
1305,1.720,3.881
1320,1.750,3.881
1336,1.701,3.783
1352,1.706,3.783
1368,1.862,3.783
1384,1.872,3.881
1400,1.808,4.272
1400,1.784,3.783
1416,1.745,3.881
1432,1.730,3.783
1448,1.720,3.783
1464,1.672,3.881
1480,1.720,3.783
1481,1.774,3.881
1496,1.818,3.783
1512,1.838,3.587
1528,2.102,3.783
1544,2.717,3.881
1560,3.363,3.881
1576,2.688,3.783
1576,1.579,3.783
1592,1.378,3.783
1608,1.403,3.685
1624,1.413,3.685
1640,1.491,3.685
1656,1.544,3.881
1656,1.574,3.783
1672,1.623,3.783
1688,1.711,3.783
1704,1.720,3.881
1720,1.730,3.881
1736,1.760,3.783
1752,1.784,3.783
1752,1.818,3.783
1768,1.813,3.783
1784,1.838,3.783
1800,1.857,3.978
1816,1.813,3.881
1832,1.774,3.783
1832,1.745,3.783
1848,1.706,3.783
1864,1.720,3.783
1880,1.716,3.685
1896,1.711,3.881
1912,1.711,3.685
1928,1.720,3.783
1928,1.730,3.783
1944,1.735,3.783
1960,1.711,3.783
1976,1.720,3.685
1992,1.720,3.685
2008,1.706,3.685
2008,1.652,3.783
2024,1.789,3.783
2040,1.828,3.685
2056,1.652,3.685
2072,1.569,3.587
2088,1.588,3.783
2104,1.613,3.783
2104,1.657,3.783
2120,1.691,3.685
2136,1.760,3.685
2152,1.794,3.685
2168,1.794,3.783
2184,1.838,3.685
2184,2.004,3.783
2200,2.449,3.881
2216,3.211,3.783
2232,3.035,3.881
2248,1.813,3.783
2264,1.354,3.685
2280,1.329,3.685
2280,1.388,3.881
2296,1.413,3.881
2312,1.491,3.881
2328,1.579,3.685
2344,1.642,3.685
2360,1.730,3.685
2360,1.774,3.685
2376,1.804,3.685
2392,1.804,3.685
2408,1.848,3.783
2424,1.872,3.881
2440,1.887,3.978
2456,1.887,3.587
2456,1.896,3.685
2472,1.867,3.783
2488,1.843,3.685
2504,1.852,3.685
2520,1.784,3.685
2536,1.794,4.272
2536,1.764,3.587
2552,1.784,3.685
2568,1.838,3.685
2584,1.833,3.685
